Latitude,Longitude,Zip Code, Full Address
35.4833,-93.8167,72949,801 E Commercial St, Ozark, AR 72949, USA
34.5183,-109.3792,85936,950 Airport St, St Johns, AZ 85936, USA
45.7475,-102.7969,57640,Unnamed Road, Lodgepole, SD 57640, USA
45.6689,-96.9914,57262,Sisseton Municipal Airport, Sisseton, SD 57262, USA
45.0194,-99.9403,57442,Co Rd 155, Gettysburg, SD 57442, USA
18.3267,-66.3592,00783,PR-5568, Corozal, 00783, Puerto Rico
45.0136,-100.2175,57442,164th St, Gettysburg, SD 57442, USA
41.8511,-75.8583,18801,15795 PA-29, Montrose, PA 18801, USA
33.7775,-81.8467,29832,16 Cattle Dr, Johnston, SC 29832, USA
43.4378,-103.4739,57747,Black Hills Health Care System, Hot Springs, SD 57747, USA
43.7744,-103.6119,57730,US Forest Service, 1019 N 5th St, Custer, SD 57730, USA
34.6719,-82.8864,29678,Clemson Airport, 365 Airport Rd, Seneca, SC 29678, USA
43.9906,-97.0925,57042,23425 456th Ave, Madison, SD 57042, USA
44.0517,-96.5931,57028,315 N Crescent St, Flandreau, SD 57028, USA
27.5892,-97.4547,78347,1004 Co Rd 8A, Chapman Ranch, TX 78347, USA
43.1647,-101.2567,57572,Unnamed Road, St Francis, SD 57572, USA
35.1867,-102.0797,79012,Experiment Station Rd, Bushland, TX 79012, USA
30.7586,-98.2339,78611,513 Hamilton Creek Dr, Burnet, TX 78611, USA
30.1728,-97.6983,78744,8109 Dee Gabriel Collins Rd, Austin, TX 78744, USA
31.7322,-96.2078,75840,104 Private Rd 1295, Fairfield, TX 75840, USA
33.7044,-115.6289,92239,Hayfield Rd, Desert Center, CA 92239, USA
33.2564,-81.2422,29812,291 April Rd, Barnwell, SC 29812, USA
43.9042,-92.4917,55902,Rochester International Airport, 7600 Helgerson Dr SW, Rochester, MN 55902, USA
45.7192,-98.9439,57456,409 3rd St, Leola, SD 57456, USA
43.2625,-102.4386,57756,Unnamed Road, Manderson, SD 57756, USA
28.4658,-98.3539,78007,Recreational Road 8, Calliham, TX 78007, USA
18.4981,-67.1294,00603,Hangar Rd, Aguadilla Pueblo, Aguadilla 00603, Puerto Rico
44.41,-103.4775,57741,Terry Rd, Southwest Meade, SD 57741, USA
36.3444,-88.8636,38237,University St, Martin, TN 38237, USA
35.2983,-86.3631,37352,176 Goodbranch Rd, Lynchburg, TN 37352, USA
33.0364,-111.3881,85132,291 Bailey St, Florence, AZ 85132, USA
41.7706,-114.7528,89825,US-93, Jackpot, NV 89825, USA
44.3083,-101.8683,57567,211th Ave, Philip, SD 57567, USA
31.8075,-94.1642,75935,811 Rainbow Dr, Center, TX 75935, USA
44.2444,-100.6592,57532,Unnamed Road, Fort Pierre, SD 57532, USA
35.0197,-82.6925,29671,158 E Ellison Ln, Pickens, SC 29671, USA
44.1278,-123.2206,97402,Unnamed Road, Eugene, OR 97402, USA
35.9092,-100.3883,79014,312 E Giraud Ave, Canadian, TX 79014, USA
43.4403,-95.7225,51249,1446 Northwest Blvd, Sibley, IA 51249, USA
44.5561,-119.6458,97825,OR-19, Dayville, OR 97825, USA
34.29,-93.06,71941,5998 Dyess Dr, Donaldson, AR 71941, USA
34.1122,-99.743,79252,State Hwy Park Rd 62, Quanah, TX 79252, USA
46.6694,-94.1089,56442,35522 Co Rd 66, Crosslake, MN 56442, USA
43.6425,-123.5828,97436,15850 OR-38, Elkton, OR 97436, USA
29.0567,-96.2319,77437,1722 Co Rd 424, El Campo, TX 77437, USA
35.2436,-87.3508,38464,1120 W Gaines St, Lawrenceburg, TN 38464, USA
33.9978,-81.7747,29138,305 S Banks St, Saluda, SC 29138, USA
33.9364,-80.3569,29150,14 N Milton Rd, Sumter, SC 29150, USA
39.9181,-76.8742,17364,6054 Lincoln Hwy, Thomasville, PA 17364, USA
43.6747,-86.4239,49436,5786 W Taylor Rd, Mears, MI 49436, USA
35.7522,-87.7958,37097,1835 S Main St, Lobelville, TN 37097, USA
48.2064,-94.3939,56685,Pine Island Rd, Waskish, MN 56685, USA
38.6789,-80.1958,26224,Pickens Rd, Helvetia, WV 26224, USA
33.0094,-109.9855,85536,16795 W Hog Holler Dr, Fort Thomas, AZ 85536, USA
43.2356,-99.4339,57533,910 Whittecar Ave, Gregory, SD 57533, USA
42.3833,-85.3828,49012,8405 N 39th St, Augusta, MI 49012, USA
29.1853,-102.9622,79834,Unnamed Road, Big Bend National Park, TX 79834, USA
45.6983,-118.8547,97801,5311 NW A Ave, Pendleton, OR 97801, USA
32.7547,-104.3836,88210,40 E Four Dinkus Rd, Artesia, NM 88210, USA
29.8706,-98.1967,78133,Guadalupe River Trail, 16510 S Access Rd, Canyon Lake, TX 78133, USA
42.4344,-83.9858,48169,4045 Patterson Lake Rd, Pinckney, MI 48169, USA
28.4897,-99.8739,78834,Community Rd, Carrizo Springs, TX 78834, USA
37.2692,-115.1197,89001,HQ Entrance Rd, Alamo, NV 89001, USA
42.2667,-84.4667,49201,I-94, Jackson, MI 49201, USA
45.1125,-103.2792,57760,SD-79, Newell, SD 57760, USA
43.3936,-121.2122,97735,NF-3125, Fort Rock, OR 97735, USA
46.6092,-121.6744,98361,129 Combs Rd, Packwood, WA 98361, USA
44.6464,-71.9833,05867,4 N Ridge Rd, Sutton, VT 05867, USA
43.46,-101.4956,57547,27199 SD-73, Long Valley, SD 57547, USA
38.6611,-80.6969,26601,701 Edgar Given Pkwy, Sutton, WV 26601, USA
44.9847,-93.1772,55108,1800 Buford Ave, Falcon Heights, MN 55108, USA
37.5922,-100.4389,67867,307 S Fry St, Montezuma, KS 67867, USA
38.9803,-80.22,26201,176 Randolph St, Buckhannon, WV 26201, USA
41.1,-76.5667,17846,79 Magee Rd, Millville, PA 17846, USA
48.2072,-122.6914,98239,1391 W Terry Rd, Coupeville, WA 98239, USA
35.0103,-85.3447,37350,1106 W Brow Rd, Lookout Mountain, TN 37350, USA
31.1,-97.4833,76513,2903 Amber Forest Trail, Belton, TX 76513, USA
40.8397,-111.8314,84010,N Canyon Trail, Bountiful, UT 84010, USA
36.1033,-87.1153,37082,507 Valley Dr, Kingston Springs, TN 37082, USA
34.9806,-101.9264,79015,301 16th St, Canyon, TX 79015, USA
35.7103,-88.8225,38305,226 Maddox Dr, Jackson, TN 38305, USA
